date,CUSR0000SA0,CUSR0000SA0L1E,CUSR0000SETB01
2000-01-01,169.30,179.3,115.9
2000-02-01,170.00,179.4,119.8
2000-03-01,171.00,180.0,133.2
2000-04-01,170.90,180.3,125.6
2000-05-01,171.20,180.7,123.6
2000-06-01,172.20,181.1,135.2
2000-07-01,172.70,181.5,133.7
2000-08-01,172.70,181.9,126.3
2000-09-01,173.60,182.3,134.2
2000-10-01,173.90,182.6,132.6
2000-11-01,174.20,183.1,131.8
2000-12-01,174.60,183.3,130.5
2001-01-01,175.60,183.9,130.6
2001-02-01,176.00,184.4,129.2
2001-03-01,176.10,184.7,125.6
2001-04-01,176.40,185.1,128.1
2001-05-01,177.30,185.3,140.1
2001-06-01,177.70,186.0,137.1
2001-07-01,177.40,186.4,123.0
2001-08-01,177.40,186.7,120.3
2001-09-01,178.10,187.1,130.9
2001-10-01,177.60,187.4,117.0
2001-11-01,177.50,188.1,104.1
2001-12-01,177.40,188.4,99.2
2002-01-01,177.7,188.7,100.5
2002-02-01,178.0,189.1,99.7
2002-03-01,178.5,189.2,107.8
2002-04-01,179.3,189.7,115.8
2002-05-01,179.5,190.0,116.5
2002-06-01,179.6,190.2,116.8
2002-07-01,180.0,190.5,118.5
2002-08-01,180.5,191.1,119.7
2002-09-01,180.8,191.3,120.6
2002-10-01,181.2,191.5,125.9
2002-11-01,181.5,191.9,125.1
2002-12-01,181.8,192.1,124.7
2003-01-01,182.6,192.4,137.1
2003-02-01,183.6,192.5,148.6
2003-03-01,183.9,192.5,147.3
2003-04-01,183.2,192.5,133.6
2003-05-01,182.9,192.9,119.0
2003-06-01,183.1,193.0,119.8
2003-07-01,183.7,193.4,125.1
2003-08-01,184.5,193.6,136.7
2003-09-01,185.1,193.7,146.5
2003-10-01,184.9,194.0,136.9
2003-11-01,185.0,194.0,136.2
2003-12-01,185.5,194.2,139.5
2004-01-01,186.3,194.6,148.3
2004-02-01,186.7,194.9,151.0
2004-03-01,187.1,195.5,151.2
2004-04-01,187.4,195.9,147.2
2004-05-01,188.2,196.2,154.6
2004-06-01,188.9,196.6,160.3
2004-07-01,189.1,196.8,158.2
2004-08-01,189.2,196.9,157.6
2004-09-01,189.8,197.5,161.3
2004-10-01,190.8,197.9,172.7
2004-11-01,191.7,198.3,179.2
2004-12-01,191.7,198.6,176.0
2005-01-01,191.6,199.0,166.9
2005-02-01,192.4,199.4,173.4
2005-03-01,193.1,200.1,177.5
2005-04-01,193.7,200.2,180.8
2005-05-01,193.6,200.5,171.9
2005-06-01,193.7,200.6,173.0
2005-07-01,194.9,200.9,190.6
2005-08-01,196.1,201.1,211.3
2005-09-01,198.8,201.3,251.0
2005-10-01,199.1,202.0,239.1
2005-11-01,198.1,202.5,202.0
2005-12-01,198.1,202.8,200.4
2006-01-01,199.3,203.2,213.2
2006-02-01,199.4,203.6,210.2
2006-03-01,199.7,204.3,208.3
2006-04-01,200.7,204.8,224.0
2006-05-01,201.3,205.4,227.5
2006-06-01,201.8,205.9,228.1
2006-07-01,202.9,206.3,245.3
2006-08-01,203.8,206.8,252.7
2006-09-01,202.8,207.2,221.3
2006-10-01,201.9,207.6,197.0
2006-11-01,202.0,207.8,195.0
2006-12-01,203.1,208.1,211.3
2007-01-01,203.437,208.600,205.361
2007-02-01,204.226,209.135,208.351
2007-03-01,205.288,209.418,222.804
2007-04-01,205.904,209.747,229.338
2007-05-01,206.755,210.058,240.407
2007-06-01,207.234,210.392,241.015
2007-07-01,207.603,210.773,242.158
2007-08-01,207.667,211.119,236.401
2007-09-01,208.547,211.554,244.482
2007-10-01,209.190,212.077,246.233
2007-11-01,210.834,212.660,268.067
2007-12-01,211.445,213.168,271.805
2008-01-01,212.174,213.771,273.485
2008-02-01,212.687,213.939,277.120
2008-03-01,213.448,214.420,279.234
2008-04-01,213.942,214.560,276.563
2008-05-01,215.208,214.936,289.883
2008-06-01,217.463,215.424,321.643
2008-07-01,219.016,215.965,334.055
2008-08-01,218.690,216.393,319.114
2008-09-01,218.877,216.713,321.466
2008-10-01,216.995,216.788,278.393
2008-11-01,213.153,216.947,191.822
2008-12-01,211.398,216.925,154.377
2009-01-01,211.933,217.346,160.815
2009-02-01,212.705,217.792,174.067
2009-03-01,212.495,218.253,166.814
2009-04-01,212.709,218.706,168.312
2009-05-01,213.022,218.904,177.057
2009-06-01,214.790,219.112,213.086
2009-07-01,214.726,219.263,211.649
2009-08-01,215.445,219.496,223.781
2009-09-01,215.861,219.920,226.214
2009-10-01,216.509,220.501,228.651
2009-11-01,217.234,220.666,238.246
2009-12-01,217.347,220.881,237.235
